participante,edad,sexo,num_ensayo,tipo_metafora,texto_metafora,relacion,sujeto,objeto,palabras_presentadas,q_sujeto_participante,q_objeto_participante,config_valida,configs_validas,total_score,parcial_score,respuesta_boton,rt_lectura_s,rt_inferencia_s,fecha_hora
003,24,Masculino,1,determinada,La estrella brilla encima del desierto vasto infinito,encima,Estrella,Desierto,Desierto|Estrella,2,4,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,12.2884,9.3586,2026-05-12 11:01:08
003,24,Masculino,2,determinada,La llave encaja dentro del candado cerrado metálico,dentro,Llave,Candado,Llave|Candado,3,3,False,"[(1, 2), (2, 1), (1, 3), (3, 1), (2, 4), (4, 2), (3, 4), (4, 3)]",0.0,100.0,Listo,11.3863,10.3945,2026-05-12 11:01:31
003,24,Masculino,3,indeterminada,La duda se disuelve en el aire tenue ligero,indeterminada,Duda,Aire,Duda|Aire,2,2,False,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",0.0,100.0,Listo,16.1311,7.3624,2026-05-12 11:01:56
003,24,Masculino,4,indeterminada,El teléfono acompaña al lápiz desde una zona difusa,diagonal_o_lateral,Teléfono,Lápiz,Teléfono|Lápiz,3,4,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,33.0743,5.8154,2026-05-12 11:02:37
003,24,Masculino,5,indeterminada,El papel vigila la vela desde una esquina oscura,indeterminada,Papel,Vela,Papel|Vela,3,4,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,28.3514,11.5711,2026-05-12 11:03:18
003,24,Masculino,6,determinada,El libro reposa abajo a la izquierda de la taza,abajo,Libro,Taza,Libro|Taza,3,2,True,"[(3, 1), (3, 2), (4, 1), (4, 2)]",100.0,100.0,Listo,9.532,6.2641,2026-05-12 11:03:35
003,24,Masculino,7,indeterminada,La campana persigue al pez desde una esquina apagada,indeterminada,Campana,Pez,Pez|Campana,3,2,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,24.0131,8.4574,2026-05-12 11:04:09
003,24,Masculino,8,determinada,La taza permanece a la izquierda del cuaderno abierto,izquierda,Taza,Cuaderno,Taza|Cuaderno,3,4,True,"[(1, 2), (1, 4), (3, 2), (3, 4)]",100.0,100.0,Listo,5.6964,7.7549,2026-05-12 11:04:24
003,24,Masculino,9,indeterminada,La ventana escucha al zapato desde un rincón olvidado,indeterminada,Ventana,Zapato,Zapato|Ventana,3,4,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,8.9197,10.0746,2026-05-12 11:04:45
003,24,Masculino,10,determinada,El teléfono se queda a la derecha del lápiz fino,derecha,Teléfono,Lápiz,Lápiz|Teléfono,4,3,True,"[(2, 1), (2, 3), (4, 1), (4, 3)]",100.0,100.0,Listo,11.4611,5.9731,2026-05-12 11:05:04
003,24,Masculino,11,determinada,La silla respira a la derecha del espejo frío,derecha,Silla,Espejo,Silla|Espejo,4,3,True,"[(2, 1), (2, 3), (4, 1), (4, 3)]",100.0,100.0,Listo,6.7706,6.6237,2026-05-12 11:05:19
003,24,Masculino,12,determinada,La botella duerme a la izquierda del plato limpio,izquierda,Botella,Plato,Plato|Botella,3,4,True,"[(1, 2), (1, 4), (3, 2), (3, 4)]",100.0,100.0,Listo,8.5904,7.2746,2026-05-12 11:05:36
003,24,Masculino,13,indeterminada,El cuadro mira la mesa desde un ángulo apartado,diagonal_o_lateral,Cuadro,Mesa,Mesa|Cuadro,1,4,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,9.0986,6.7738,2026-05-12 11:05:53
003,24,Masculino,14,indeterminada,El lápiz encuentra la taza desde un rincón lejano,diagonal_o_lateral,Lápiz,Taza,Taza|Lápiz,1,4,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,12.4489,17.5926,2026-05-12 11:06:25
003,24,Masculino,15,indeterminada,El libro encuentra la taza desde un rincón incierto,indeterminada,Libro,Taza,Libro|Taza,1,4,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,8.6632,14.4567,2026-05-12 11:06:49
003,24,Masculino,16,determinada,La nube flota arriba del valle verde iluminado,arriba,Nube,Valle,Nube|Valle,1,3,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,5.525,9.7162,2026-05-12 11:07:06
003,24,Masculino,17,determinada,El puente se extiende sobre el río ancho caudaloso,sobre,Puente,Río,Puente|Río,2,4,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,11.0785,5.003,2026-05-12 11:07:24
003,24,Masculino,18,indeterminada,El foco espía al cuaderno desde un rincón silencioso,diagonal_o_lateral,Foco,Cuaderno,Foco|Cuaderno,1,4,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,19.1263,4.6558,2026-05-12 11:07:49
003,24,Masculino,19,determinada,El techo protege sobre las paredes firmes del hogar,sobre,Techo,Paredes,Paredes|Techo,2,4,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,7.0478,4.5011,2026-05-12 11:08:02
003,24,Masculino,20,indeterminada,El violín espía la silla desde un ángulo difuso,indeterminada,Violín,Silla,Silla|Violín,1,4,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,8.9104,6.5452,2026-05-12 11:08:19
003,24,Masculino,21,indeterminada,La esperanza cuelga en el horizonte rojo distante,indeterminada,Esperanza,Horizonte,Esperanza|Horizonte,3,2,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,19.0968,15.5548,2026-05-12 11:08:55
003,24,Masculino,22,determinada,La cabeza se apoya sobre los hombros fuertes rectos,sobre,Cabeza,Hombros,Cabeza|Hombros,1,3,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,9.0328,6.3247,2026-05-12 11:09:12
003,24,Masculino,23,indeterminada,El cuadro rodea la silla desde un punto difuso,indeterminada,Cuadro,Silla,Cuadro|Silla,1,4,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,8.7491,4.9824,2026-05-12 11:09:27
003,24,Masculino,24,determinada,La raíz se esconde bajo la tierra húmeda fértil,bajo,Raíz,Tierra,Tierra|Raíz,3,1,True,"[(3, 1), (3, 2), (4, 1), (4, 2)]",100.0,100.0,Listo,2.828,9.1444,2026-05-12 11:09:41
003,24,Masculino,25,determinada,El cuadro observa desde la izquierda a la mesa,izquierda,Cuadro,Mesa,Mesa|Cuadro,3,4,True,"[(1, 2), (1, 4), (3, 2), (3, 4)]",100.0,100.0,Listo,9.4218,8.9525,2026-05-12 11:10:01
003,24,Masculino,26,indeterminada,El reloj persigue la taza desde una esquina incierta,diagonal_o_lateral,Reloj,Taza,Reloj|Taza,1,4,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,9.6903,7.3428,2026-05-12 11:10:19
003,24,Masculino,27,indeterminada,La libreta descansa frente al teléfono en calma leve,lateral_superior,Libreta,Teléfono,Teléfono|Libreta,4,3,False,"[(1, 2), (2, 1)]",0.0,0.0,Listo,13.5049,6.2397,2026-05-12 11:10:40
003,24,Masculino,28,indeterminada,La botella ilumina el libro desde un ángulo remoto,diagonal_o_lateral,Botella,Libro,Libro|Botella,1,4,True,"[(1, 4), (4, 1), (2, 3), (3, 2), (1, 2), (2, 1), (3, 4), (4, 3)]",100.0,100.0,Listo,5.5049,7.4803,2026-05-12 11:10:55
003,24,Masculino,29,indeterminada,La promesa se eleva sobre el humo gris efímero,indeterminada,Promesa,Humo,Humo|Promesa,1,3,True,"[(1, 2), (1, 3), (1, 4), (2, 1), (2, 3), (2, 4), (3, 1), (3, 2), (3, 4), (4, 1), (4, 2), (4, 3)]",100.0,100.0,Listo,9.8193,5.8399,2026-05-12 11:11:12
003,24,Masculino,30,determinada,El mapa descansa sobre la mesa amplia ordenada,sobre,Mapa,Mesa,Mapa|Mesa,2,4,True,"[(1, 3), (1, 4), (2, 3), (2, 4)]",100.0,100.0,Listo,4.4236,5.2124,2026-05-12 11:11:23
003,24,Masculino,31,determinada,El espejo vive a la derecha del jarrón antiguo,derecha,Espejo,Jarrón,Espejo|Jarrón,4,3,True,"[(2, 1), (2, 3), (4, 1), (4, 3)]",100.0,100.0,Listo,7.2377,6.9522,2026-05-12 11:11:39
003,24,Masculino,32,determinada,La lámpara cuida al libro justo arriba de él,arriba,Lámpara,Libro,Libro|Lámpara,4,2,False,"[(1, 3), (1, 4), (2, 3), (2, 4)]",0.0,0.0,Listo,10.136,7.4409,2026-05-12 11:11:58
